# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.2	69.2	+0.0	0.9876	0.9864	-0.0012	-399.22	-154.78	2.764	0.9759	0.9745	0	0
nik	96	100.8	101.0	-0.2	0.9944	0.9940	-0.0003	-227.79	-31.55	3.239	0.9881	0.9888	0	0
zaur	64	63.5	63.6	-0.0	0.9883	0.9866	-0.0017	-335.73	-123.36	2.618	0.9644	0.9686	0	0
zaur	96	93.8	93.9	-0.0	0.9946	0.9937	-0.0009	-265.38	-125.18	1.966	0.9862	0.9854	0	0
her	64	67.3	67.9	-0.9	0.9827	0.9794	-0.0033	-839.84	-339.00	4.650	0.9472	0.9406	0	0
her	96	100.9	101.5	-0.6	0.9913	0.9902	-0.0011	-899.99	-191.50	10.126	0.9730	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9903	0.9880	-0.0024	-222.24	-128.39	1.603	0.9700	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9954	0.9948	-0.0007	-229.13	-29.16	3.328	0.9852	0.9804	0	0
sadie	64	62.6	63.3	-1.1	0.9816	0.9859	+0.0043	-389.15	-392.46	0.988	0.9151	0.9100	0	0
sadie	96	84.0	84.8	-1.0	0.9920	0.9920	-0.0001	-303.07	-231.16	1.346	0.9661	0.9511	0	0
dl8a	64	65.4	65.8	-0.6	0.9879	0.9865	-0.0015	-386.87	-378.84	1.029	0.9744	0.9723	0	0
dl8a	96	96.0	96.8	-0.9	0.9939	0.9934	-0.0006	-340.97	-423.47	0.747	0.9858	0.9864	0	0
hein	64	64.5	64.9	-0.6	0.9853	0.9874	+0.0020	-426.68	-388.31	1.141	0.9209	0.9148	0	0
hein	96	86.3	86.9	-0.7	0.9937	0.9930	-0.0006	-376.12	-246.46	1.653	0.9675	0.9499	0	0
